Date,Text,Likes,Retweets
2022-04-18,Market looks bearish today,461,134
2023-03-23,Market volatility creating trading opportunities,42,90
2023-07-23,Banking sector showing strong momentum,21,117
2022-07-25,Hydropower stocks trending among investors,354,87
2022-02-21,Hydropower stocks trending among investors,218,94
2022-01-21,NEPSE might correct soon,434,1
2023-01-27,Banking sector showing strong momentum,154,69
2022-11-19,NEPSE might correct soon,60,59
2023-03-27,Great opportunity to buy hydropower stocks,278,69
2022-04-12,Market volatility creating trading opportunities,493,147
2022-08-10,NEPSE might correct soon,101,141
2023-08-19,Investors confident about long term growth,441,30
2022-05-19,Banking stocks may rise tomorrow,104,24
2023-10-22,Great opportunity to buy hydropower stocks,465,71
2022-08-17,Banking stocks may rise tomorrow,410,103
2022-05-01,Hydropower stocks trending among investors,95,102
2022-07-04,Banking stocks may rise tomorrow,205,43
2023-01-12,Market looks bearish today,330,39
2022-01-10,Banking sector showing strong momentum,74,84
2023-08-10,Market looks bearish today,196,116
2022-08-05,Investors confident about long term growth,297,111
2023-08-13,Banking stocks may rise tomorrow,65,74
2022-05-22,NEPSE might correct soon,340,20
2022-12-09,Great opportunity to buy hydropower stocks,352,84
2022-05-19,Hydropower stocks trending among investors,290,41
2023-06-28,Hydropower stocks trending among investors,283,104
2022-01-06,Great opportunity to buy hydropower stocks,129,20
2023-11-22,NEPSE might correct soon,437,142
2022-07-23,Hydropower stocks trending among investors,36,63
2022-11-05,Hydropower stocks trending among investors,166,34
2023-03-16,Banking sector showing strong momentum,365,119
2023-01-10,Banking stocks may rise tomorrow,347,127
2022-10-04,Great opportunity to buy hydropower stocks,467,101
2023-08-03,Great opportunity to buy hydropower stocks,411,95
2022-10-31,Hydropower stocks trending among investors,277,11
2023-04-05,Market looks bearish today,209,67
2023-10-04,Market volatility creating trading opportunities,371,77
2022-02-05,NEPSE might correct soon,421,11
2022-11-09,Investors confident about long term growth,410,80
2023-04-01,Market volatility creating trading opportunities,46,134
2022-07-30,Banking stocks may rise tomorrow,388,29
2023-04-04,Market volatility creating trading opportunities,445,101
2023-11-30,Market volatility creating trading opportunities,269,105
2023-03-21,Banking stocks may rise tomorrow,218,81
2023-03-31,Banking stocks may rise tomorrow,196,78
2023-01-30,NEPSE might correct soon,7,118
2022-03-24,NEPSE might correct soon,189,84
2022-05-10,Investors confident about long term growth,176,89
2023-07-08,Banking sector showing strong momentum,476,32
2023-05-05,Banking stocks may rise tomorrow,167,115
2023-11-15,Banking sector showing strong momentum,253,121
2023-03-12,Market volatility creating trading opportunities,347,69
2022-11-16,Great opportunity to buy hydropower stocks,412,65
2022-12-05,Great opportunity to buy hydropower stocks,143,139
2022-07-19,Great opportunity to buy hydropower stocks,225,106
2023-01-19,Market volatility creating trading opportunities,168,85
2022-03-11,Market looks bearish today,238,105
2023-07-23,Market volatility creating trading opportunities,7,81
2022-12-22,Market looks bearish today,147,1
2023-11-17,Hydropower stocks trending among investors,288,70
2023-09-02,Hydropower stocks trending among investors,314,97
2023-04-27,Banking sector showing strong momentum,487,56
2023-06-26,Banking stocks may rise tomorrow,458,109
2022-03-09,Banking sector showing strong momentum,30,129
2023-07-24,Investors confident about long term growth,69,61
2022-11-28,NEPSE might correct soon,191,143
2022-07-25,Great opportunity to buy hydropower stocks,379,60
2023-06-17,Hydropower stocks trending among investors,488,148
2022-05-27,Market looks bearish today,41,26
2022-09-20,Banking sector showing strong momentum,165,28
2023-01-26,Great opportunity to buy hydropower stocks,224,14
2022-07-03,Great opportunity to buy hydropower stocks,283,93
2022-05-31,Hydropower stocks trending among investors,145,29
2023-07-03,Market volatility creating trading opportunities,13,114
2022-05-10,Hydropower stocks trending among investors,104,147
2022-12-18,Banking stocks may rise tomorrow,400,58
2022-12-15,Investors confident about long term growth,5,26
2022-01-01,Great opportunity to buy hydropower stocks,159,15
2023-01-28,Great opportunity to buy hydropower stocks,248,38
2023-10-18,Banking stocks may rise tomorrow,401,8
2022-02-17,Great opportunity to buy hydropower stocks,325,114
2022-03-05,Market volatility creating trading opportunities,164,129
2022-01-01,Hydropower stocks trending among investors,199,46
2023-04-09,Market volatility creating trading opportunities,260,100
2022-02-06,Market looks bearish today,362,97
2023-05-13,Market looks bearish today,405,99
2023-06-09,Banking stocks may rise tomorrow,105,113
2022-12-16,Banking sector showing strong momentum,302,7
2022-08-09,Banking stocks may rise tomorrow,246,64
2023-05-11,Great opportunity to buy hydropower stocks,307,88
2022-10-12,Market looks bearish today,397,126
2023-11-02,Hydropower stocks trending among investors,403,92
2023-10-27,Great opportunity to buy hydropower stocks,483,144
2022-11-21,Banking stocks may rise tomorrow,158,123
2023-06-10,Investors confident about long term growth,175,34
2023-04-18,Banking stocks may rise tomorrow,323,103
2023-04-23,Hydropower stocks trending among investors,498,71
2023-04-03,Investors confident about long term growth,358,141
2022-08-10,Banking stocks may rise tomorrow,187,85
2022-03-18,Hydropower stocks trending among investors,186,95
2022-11-26,Investors confident about long term growth,213,120
2023-02-26,Banking stocks may rise tomorrow,373,125
2022-12-19,Market volatility creating trading opportunities,345,113
2023-05-08,NEPSE might correct soon,235,109
2023-03-27,Banking stocks may rise tomorrow,27,2
2022-03-24,Banking stocks may rise tomorrow,65,78
2023-02-25,NEPSE might correct soon,73,17
2022-01-16,Hydropower stocks trending among investors,124,76
2023-04-11,Great opportunity to buy hydropower stocks,394,20
2023-01-13,Banking stocks may rise tomorrow,284,118
2022-01-27,Hydropower stocks trending among investors,471,118
2022-04-07,Banking sector showing strong momentum,297,64
2022-09-24,Great opportunity to buy hydropower stocks,451,78
2022-02-09,NEPSE might correct soon,267,143
2023-05-14,Investors confident about long term growth,85,44
2022-04-13,Hydropower stocks trending among investors,35,60
2023-06-20,Banking sector showing strong momentum,402,150
2023-08-06,Market looks bearish today,499,79
2023-08-02,Hydropower stocks trending among investors,417,116
2023-08-07,Market volatility creating trading opportunities,243,128
2022-01-16,Banking stocks may rise tomorrow,7,71
2022-04-09,Hydropower stocks trending among investors,445,58
2023-11-30,Hydropower stocks trending among investors,78,50
2023-03-01,NEPSE might correct soon,162,81
2023-10-30,NEPSE might correct soon,482,124
2022-05-06,Banking sector showing strong momentum,93,109
2022-07-02,Hydropower stocks trending among investors,149,78
2022-03-07,Hydropower stocks trending among investors,381,91
2023-11-13,Banking sector showing strong momentum,145,112
2022-08-09,Hydropower stocks trending among investors,441,58
2022-08-06,Market looks bearish today,454,139
2023-04-25,Market volatility creating trading opportunities,254,79
2023-04-22,Market volatility creating trading opportunities,403,61
2023-03-22,Hydropower stocks trending among investors,198,105
2023-11-24,Banking sector showing strong momentum,434,86
2022-02-25,NEPSE might correct soon,190,92
2023-07-14,Great opportunity to buy hydropower stocks,247,131
2022-08-16,Banking stocks may rise tomorrow,242,62
2022-04-10,NEPSE might correct soon,25,147
2023-01-16,Banking sector showing strong momentum,475,135
2023-04-09,Great opportunity to buy hydropower stocks,386,28
2022-11-16,Market volatility creating trading opportunities,263,69
2023-07-08,Banking stocks may rise tomorrow,254,54
2023-10-17,NEPSE might correct soon,124,49
2022-09-01,Investors confident about long term growth,239,30
2022-02-13,Market looks bearish today,280,18
2022-07-18,Investors confident about long term growth,101,53
2023-06-13,Market looks bearish today,221,16
2022-08-17,NEPSE might correct soon,454,48
2023-06-11,NEPSE might correct soon,468,4
2023-02-05,Hydropower stocks trending among investors,394,103
2022-07-28,Hydropower stocks trending among investors,140,149
2022-09-20,Great opportunity to buy hydropower stocks,244,83
2022-07-28,Banking stocks may rise tomorrow,32,9
2022-03-12,Hydropower stocks trending among investors,480,106
2022-12-08,Banking sector showing strong momentum,444,2
2022-12-26,Market looks bearish today,441,51
2023-04-09,Market volatility creating trading opportunities,422,36
2022-05-11,Banking sector showing strong momentum,205,109
2022-06-22,Market looks bearish today,131,100
2023-11-07,Hydropower stocks trending among investors,389,80
2023-03-22,NEPSE might correct soon,398,28
2022-07-18,Hydropower stocks trending among investors,163,74
2022-08-18,Hydropower stocks trending among investors,436,36
2023-10-17,Banking stocks may rise tomorrow,247,57
2022-03-28,Market looks bearish today,359,28
2023-08-19,Banking stocks may rise tomorrow,405,9
2023-03-28,Market volatility creating trading opportunities,277,123
2023-10-12,Market volatility creating trading opportunities,285,57
2022-04-23,Market looks bearish today,465,54
2022-03-21,Market looks bearish today,455,17
2022-04-19,Market volatility creating trading opportunities,75,92
2023-04-14,Banking stocks may rise tomorrow,163,148
2022-07-28,Market volatility creating trading opportunities,96,72
2022-04-12,Hydropower stocks trending among investors,81,131
2023-08-15,Great opportunity to buy hydropower stocks,34,61
2022-08-19,Banking sector showing strong momentum,424,36
2023-05-22,Great opportunity to buy hydropower stocks,81,37
2023-11-18,Market looks bearish today,382,39
2022-10-07,Banking sector showing strong momentum,162,79
2023-05-15,Banking stocks may rise tomorrow,134,57
2022-06-22,NEPSE might correct soon,271,105
2023-02-24,Banking sector showing strong momentum,324,5
2023-04-10,Market looks bearish today,107,146
2022-04-21,NEPSE might correct soon,255,58
2022-05-06,Banking sector showing strong momentum,209,55
2023-11-10,Market volatility creating trading opportunities,326,75
2022-07-03,Banking sector showing strong momentum,487,77
2022-10-19,Great opportunity to buy hydropower stocks,119,77
2022-01-12,Market volatility creating trading opportunities,107,103
2023-01-26,Banking stocks may rise tomorrow,147,10
2022-08-20,NEPSE might correct soon,392,146
2022-03-31,Hydropower stocks trending among investors,190,14
2022-10-28,Investors confident about long term growth,340,110
2023-10-18,NEPSE might correct soon,80,9
2022-10-30,Banking sector showing strong momentum,181,139
2023-11-19,Banking sector showing strong momentum,441,2
2023-02-03,Great opportunity to buy hydropower stocks,277,127
2023-02-04,Market looks bearish today,160,39
2023-02-10,NEPSE might correct soon,249,17
2023-02-25,Hydropower stocks trending among investors,233,99
2022-03-30,Investors confident about long term growth,245,127
2022-09-06,Market volatility creating trading opportunities,495,104
2022-04-03,Banking stocks may rise tomorrow,491,66
2023-01-19,Banking sector showing strong momentum,111,73
2022-10-26,Investors confident about long term growth,66,45
2023-06-30,Market looks bearish today,242,62
2022-05-29,Market looks bearish today,404,10
2022-03-18,Market looks bearish today,186,58
2022-04-05,NEPSE might correct soon,394,121
2022-08-16,Banking stocks may rise tomorrow,275,30
2022-09-19,Hydropower stocks trending among investors,214,41
2022-02-19,Investors confident about long term growth,168,73
2023-11-30,Great opportunity to buy hydropower stocks,493,21
2023-10-14,Great opportunity to buy hydropower stocks,10,3
2023-11-12,Banking sector showing strong momentum,107,88
2022-09-14,Great opportunity to buy hydropower stocks,137,126
2023-04-27,NEPSE might correct soon,322,68
2022-01-04,Market looks bearish today,310,121
2022-02-07,Market volatility creating trading opportunities,201,26
2022-12-30,Banking stocks may rise tomorrow,130,103
2022-03-03,Market volatility creating trading opportunities,345,45
2023-03-30,Hydropower stocks trending among investors,291,13
2022-05-20,Market looks bearish today,336,6
2023-06-13,Hydropower stocks trending among investors,327,123
2023-01-01,NEPSE might correct soon,355,149
2022-03-08,Banking sector showing strong momentum,60,55
2022-06-28,Hydropower stocks trending among investors,272,8
2022-06-08,Hydropower stocks trending among investors,330,29
2023-06-16,Market looks bearish today,434,84
2022-09-30,NEPSE might correct soon,256,17
2023-02-25,NEPSE might correct soon,172,52
2022-08-21,Investors confident about long term growth,156,66
2023-04-14,Market volatility creating trading opportunities,92,4
2023-04-27,Banking sector showing strong momentum,390,49
2023-09-28,NEPSE might correct soon,28,77
2023-03-03,Market volatility creating trading opportunities,388,22
2022-12-22,Hydropower stocks trending among investors,378,126
2023-05-31,Banking sector showing strong momentum,110,11
2022-05-03,Banking sector showing strong momentum,364,99
2022-03-19,Banking sector showing strong momentum,464,73
2023-05-24,Banking sector showing strong momentum,140,35
2023-10-02,Banking sector showing strong momentum,163,86
2022-05-31,Investors confident about long term growth,474,14
2022-08-27,NEPSE might correct soon,422,100
2023-03-13,Investors confident about long term growth,9,61
2023-06-24,Market looks bearish today,219,104
2022-04-01,Investors confident about long term growth,316,96
2022-10-24,NEPSE might correct soon,128,98
2022-06-01,NEPSE might correct soon,374,71
2022-07-29,Investors confident about long term growth,80,46
2023-04-11,NEPSE might correct soon,162,77
2023-10-14,Market looks bearish today,272,146
2023-06-06,Market volatility creating trading opportunities,259,31
2022-02-28,Investors confident about long term growth,345,61
2023-10-10,Hydropower stocks trending among investors,338,97
2022-10-04,Banking sector showing strong momentum,258,12
2022-02-13,Great opportunity to buy hydropower stocks,267,21
2023-10-07,Great opportunity to buy hydropower stocks,296,139
2023-10-10,Hydropower stocks trending among investors,324,132
2022-01-22,Investors confident about long term growth,155,81
2023-08-01,Market volatility creating trading opportunities,225,56
2023-06-16,Investors confident about long term growth,209,24
2023-02-07,NEPSE might correct soon,32,49
2023-05-21,Market volatility creating trading opportunities,62,89
2023-08-18,Market volatility creating trading opportunities,350,79
2022-10-29,Hydropower stocks trending among investors,416,106
2022-03-04,Investors confident about long term growth,312,11
2022-09-10,Hydropower stocks trending among investors,10,64
2022-12-20,NEPSE might correct soon,452,57
2023-08-27,Market looks bearish today,177,2
2023-05-21,Banking stocks may rise tomorrow,372,5
2022-09-29,Market looks bearish today,67,112
2023-09-22,Market looks bearish today,455,82
2023-01-06,Market volatility creating trading opportunities,9,50
2022-12-29,NEPSE might correct soon,304,16
2023-10-23,Hydropower stocks trending among investors,104,99
2023-01-30,Hydropower stocks trending among investors,412,80
2023-08-09,Market volatility creating trading opportunities,375,111
2023-09-25,Market volatility creating trading opportunities,383,104
2022-03-20,Banking sector showing strong momentum,362,116
2023-06-13,Investors confident about long term growth,424,132
2022-04-19,Market volatility creating trading opportunities,470,69
2023-05-23,Investors confident about long term growth,11,3
2022-08-19,Banking sector showing strong momentum,405,68
2023-08-07,Hydropower stocks trending among investors,295,48
2022-07-15,Great opportunity to buy hydropower stocks,59,88
2023-08-15,Banking stocks may rise tomorrow,319,87
2022-08-27,NEPSE might correct soon,72,107
2022-09-08,Market volatility creating trading opportunities,396,49
2023-06-22,Banking stocks may rise tomorrow,170,146
2023-08-10,Investors confident about long term growth,352,146
2022-05-19,Banking sector showing strong momentum,135,57
2022-05-28,Hydropower stocks trending among investors,259,126
2023-04-05,Market looks bearish today,468,20
2022-11-21,Great opportunity to buy hydropower stocks,19,25
2023-01-22,Market looks bearish today,56,112
2023-07-27,Banking stocks may rise tomorrow,318,59
2023-11-20,Market looks bearish today,442,122
2023-11-04,Market looks bearish today,299,92
2023-09-01,Banking sector showing strong momentum,287,132
2023-05-12,Great opportunity to buy hydropower stocks,59,88
2023-09-08,Great opportunity to buy hydropower stocks,460,121
2022-03-06,Market volatility creating trading opportunities,299,72
2023-03-31,Market looks bearish today,105,91
2022-05-30,Investors confident about long term growth,82,137
2023-10-05,Banking sector showing strong momentum,381,48
2022-03-27,Banking sector showing strong momentum,240,88
2023-08-14,Banking stocks may rise tomorrow,134,80
2022-01-06,Banking stocks may rise tomorrow,393,23
2023-11-02,Great opportunity to buy hydropower stocks,438,54
2022-05-24,Market volatility creating trading opportunities,334,76
2022-07-31,Market volatility creating trading opportunities,388,77
2023-04-27,Great opportunity to buy hydropower stocks,367,132
2022-01-17,Hydropower stocks trending among investors,487,73
2023-06-27,Market volatility creating trading opportunities,23,132
2023-04-26,Market volatility creating trading opportunities,429,135
2022-05-27,Banking stocks may rise tomorrow,259,81
2022-10-14,Banking stocks may rise tomorrow,31,21
2023-07-08,Banking sector showing strong momentum,281,52
2023-11-23,Investors confident about long term growth,232,23
2023-02-21,Investors confident about long term growth,267,63
2022-01-13,Banking stocks may rise tomorrow,189,15
2022-02-09,Market looks bearish today,24,45
2023-02-28,Banking sector showing strong momentum,348,45
2022-09-27,Great opportunity to buy hydropower stocks,95,70
2022-07-17,NEPSE might correct soon,372,99
2023-02-14,Banking stocks may rise tomorrow,402,98
2022-07-31,Market volatility creating trading opportunities,90,23
2022-12-12,Hydropower stocks trending among investors,216,88
2023-01-16,Great opportunity to buy hydropower stocks,448,123
2023-08-14,Great opportunity to buy hydropower stocks,43,127
2022-10-06,Hydropower stocks trending among investors,446,131
2023-02-11,Investors confident about long term growth,377,144
2022-05-11,Banking stocks may rise tomorrow,322,140
2022-03-13,Investors confident about long term growth,380,106
2022-11-18,Investors confident about long term growth,286,137
2023-08-31,Hydropower stocks trending among investors,160,76
2022-05-06,NEPSE might correct soon,431,106
2022-03-04,Banking sector showing strong momentum,320,94
2022-01-05,Market volatility creating trading opportunities,445,100
2023-06-24,Market looks bearish today,115,101
2023-05-19,NEPSE might correct soon,53,89
2022-12-09,Hydropower stocks trending among investors,168,62
2023-09-17,Banking stocks may rise tomorrow,34,32
2022-04-23,Market looks bearish today,449,5
2022-09-25,Hydropower stocks trending among investors,266,56
2022-08-27,NEPSE might correct soon,105,20
2022-08-16,Great opportunity to buy hydropower stocks,408,93
2023-03-19,Investors confident about long term growth,364,21
2023-10-19,Market volatility creating trading opportunities,365,150
2022-12-11,Market volatility creating trading opportunities,186,125
2023-03-05,Great opportunity to buy hydropower stocks,173,97
2022-04-21,Banking stocks may rise tomorrow,373,105
2023-09-23,Market volatility creating trading opportunities,157,53
2022-10-05,Banking stocks may rise tomorrow,435,99
2022-02-17,Hydropower stocks trending among investors,203,26
2022-10-05,Banking sector showing strong momentum,413,135
2023-03-18,Banking stocks may rise tomorrow,82,32
2022-08-15,Market looks bearish today,388,91
2022-10-17,NEPSE might correct soon,364,62
2022-08-25,Market looks bearish today,207,37
2023-04-06,Banking sector showing strong momentum,351,44
2023-05-25,Banking stocks may rise tomorrow,276,123
2023-04-24,Market volatility creating trading opportunities,194,66
2022-03-12,Market volatility creating trading opportunities,56,55
2023-09-28,Banking sector showing strong momentum,416,9
2022-03-23,Hydropower stocks trending among investors,127,49
2022-01-04,Hydropower stocks trending among investors,221,92
2022-09-02,Market looks bearish today,175,31
2023-04-05,Investors confident about long term growth,70,3
2023-07-29,NEPSE might correct soon,241,4
2022-12-27,NEPSE might correct soon,103,85
2023-04-20,Market looks bearish today,24,25
2022-11-12,Market looks bearish today,155,21
2022-10-06,Investors confident about long term growth,486,99
2023-11-03,Banking stocks may rise tomorrow,446,127
2023-08-13,Hydropower stocks trending among investors,207,99
2022-06-16,NEPSE might correct soon,300,55
2023-01-12,Great opportunity to buy hydropower stocks,220,139
2023-09-14,NEPSE might correct soon,200,142
2022-12-21,Banking stocks may rise tomorrow,332,105
2022-10-07,Great opportunity to buy hydropower stocks,144,32
2023-11-28,Hydropower stocks trending among investors,161,73
2022-11-22,NEPSE might correct soon,312,98
2022-09-21,Great opportunity to buy hydropower stocks,122,20
2022-10-07,Investors confident about long term growth,21,54
2023-01-02,Banking sector showing strong momentum,399,113
2022-02-26,Investors confident about long term growth,221,14
2023-06-20,NEPSE might correct soon,457,40
2023-02-15,Hydropower stocks trending among investors,173,1
2022-04-03,Investors confident about long term growth,31,139
2022-08-15,Market volatility creating trading opportunities,341,132
2023-08-20,Great opportunity to buy hydropower stocks,7,149
2022-08-27,Hydropower stocks trending among investors,476,141
2023-06-11,Investors confident about long term growth,229,9
2023-08-01,Market looks bearish today,291,109
2022-11-17,Market volatility creating trading opportunities,131,88
2023-05-02,Hydropower stocks trending among investors,184,52
2023-11-10,Banking sector showing strong momentum,343,120
2023-07-29,Great opportunity to buy hydropower stocks,199,16
2023-08-21,NEPSE might correct soon,268,1
2022-05-13,Hydropower stocks trending among investors,461,134
2022-06-09,NEPSE might correct soon,123,35
2022-10-31,Hydropower stocks trending among investors,213,38
2022-07-16,Great opportunity to buy hydropower stocks,88,44
2022-12-17,NEPSE might correct soon,341,147
2023-04-22,Great opportunity to buy hydropower stocks,207,75
2023-09-13,Hydropower stocks trending among investors,107,76
2023-04-23,Hydropower stocks trending among investors,193,16
2023-09-27,Banking stocks may rise tomorrow,159,16
2022-10-19,Banking stocks may rise tomorrow,318,71
2023-04-29,Hydropower stocks trending among investors,57,6
2023-02-24,NEPSE might correct soon,268,116
2022-11-22,Great opportunity to buy hydropower stocks,178,69
2022-07-06,Banking stocks may rise tomorrow,441,105
2023-05-29,Great opportunity to buy hydropower stocks,440,116
2022-10-06,Banking stocks may rise tomorrow,373,59
2023-05-16,Banking sector showing strong momentum,320,10
2022-12-13,NEPSE might correct soon,35,81
2023-11-05,Banking stocks may rise tomorrow,133,117
2023-10-25,Hydropower stocks trending among investors,310,145
2022-08-12,Market volatility creating trading opportunities,261,148
2022-01-14,Banking sector showing strong momentum,387,130
2022-11-06,Banking stocks may rise tomorrow,451,2
2022-12-30,Market volatility creating trading opportunities,172,84
2023-05-30,Hydropower stocks trending among investors,289,71
2023-07-17,Banking stocks may rise tomorrow,293,94
2022-02-01,Market volatility creating trading opportunities,217,84
2023-10-22,Great opportunity to buy hydropower stocks,370,84
2023-10-12,Hydropower stocks trending among investors,423,133
2023-02-24,Hydropower stocks trending among investors,46,15
2023-01-19,Great opportunity to buy hydropower stocks,429,145
2022-07-15,Hydropower stocks trending among investors,216,139
2022-10-19,NEPSE might correct soon,393,57
2022-07-12,NEPSE might correct soon,215,124
2022-04-30,Great opportunity to buy hydropower stocks,251,143
2023-03-23,NEPSE might correct soon,11,35
2023-04-12,Banking sector showing strong momentum,480,95
2022-06-13,Market volatility creating trading opportunities,24,1
2023-01-09,Investors confident about long term growth,39,128
2022-02-07,Great opportunity to buy hydropower stocks,272,26
2023-08-10,Market looks bearish today,484,10
2022-08-06,Hydropower stocks trending among investors,487,32
2022-02-20,Hydropower stocks trending among investors,389,9
2023-11-29,Banking stocks may rise tomorrow,21,99
2022-03-20,Banking sector showing strong momentum,185,127
2023-08-21,Banking sector showing strong momentum,433,48
2022-04-21,Market volatility creating trading opportunities,327,97
2023-01-15,Market volatility creating trading opportunities,201,91
2023-10-16,Banking stocks may rise tomorrow,258,7
2023-09-13,Market looks bearish today,97,141
2022-08-23,Market looks bearish today,366,23
2022-10-12,Market volatility creating trading opportunities,278,124
2023-10-21,Market looks bearish today,289,20
2022-05-12,Market looks bearish today,489,17
2022-03-29,Great opportunity to buy hydropower stocks,500,17
2023-05-01,NEPSE might correct soon,299,67
2023-01-04,Banking stocks may rise tomorrow,114,127
2023-04-10,Great opportunity to buy hydropower stocks,497,107
2022-07-17,NEPSE might correct soon,291,63
2023-06-28,Banking stocks may rise tomorrow,210,56
2022-06-03,Market looks bearish today,350,54
2023-08-23,Great opportunity to buy hydropower stocks,445,96
2022-11-27,NEPSE might correct soon,80,134
2022-05-01,Market looks bearish today,367,32
2023-07-15,Market volatility creating trading opportunities,397,48
2022-05-18,Investors confident about long term growth,184,126
2023-07-01,Investors confident about long term growth,34,46
2023-09-02,NEPSE might correct soon,145,6
2023-08-06,Great opportunity to buy hydropower stocks,185,103
2022-01-14,NEPSE might correct soon,49,3
2022-04-13,Hydropower stocks trending among investors,257,2
2023-10-22,Banking stocks may rise tomorrow,232,31
2022-07-12,Banking stocks may rise tomorrow,173,69
2023-03-01,Market volatility creating trading opportunities,467,1
2022-04-26,Market volatility creating trading opportunities,407,146
2022-12-24,Market volatility creating trading opportunities,134,112
2022-03-18,Market volatility creating trading opportunities,217,109
2023-01-07,NEPSE might correct soon,152,35
2023-05-25,Great opportunity to buy hydropower stocks,246,134
2022-04-29,Market volatility creating trading opportunities,201,107
2022-08-26,Market looks bearish today,122,45
2023-01-24,Hydropower stocks trending among investors,66,29
2022-07-22,Investors confident about long term growth,469,59
2022-05-03,NEPSE might correct soon,412,81
2023-02-14,Banking sector showing strong momentum,69,46
2022-03-15,Banking stocks may rise tomorrow,207,95
2023-07-31,Hydropower stocks trending among investors,79,129
2022-04-21,Banking stocks may rise tomorrow,10,103
2022-04-04,Market volatility creating trading opportunities,107,63
2022-12-02,Banking sector showing strong momentum,375,105
2023-03-07,Great opportunity to buy hydropower stocks,495,146
2023-01-25,Market looks bearish today,108,51
2023-08-26,NEPSE might correct soon,427,87
2023-04-21,Great opportunity to buy hydropower stocks,123,16
2023-11-17,Banking stocks may rise tomorrow,329,27
2022-05-16,Banking stocks may rise tomorrow,248,77
